	Word	WordPhono	leftPhonoFuzz	IfixPhono
107	vlooienband	floj@bAnt	flo	@
111	vlooienband	vloj@bAnt	vlo	@
487	huwelijksleven	hyw@l@E+kslev@	hyw@l@E	s
673	hondsdraf	hOnzdrAf	hOnz	s
677	gezichtspunt	x@zIxspYn	x@zIxs	s
686	hemdsmouwen	hEmsmA+w@	hEms	s
713	verstandshuwelijk	v@rstAnshywl@k	v@rstAns	s
726	godenbeelden	God@nbeld@	xOt	@
733	onafhankelijkheidsoorlog	OnAvANkl@kE+tsorlOx	OnAfhANk@l@khE+t	s
738	parlementsleden	pArl@mEnsled@	pArl@mEns	s
755	erwtensoep	Erwt@sup	Erw	@
771	overheidsdiensten	ov@rE+dzdinst@n	ov@rE+	s
787	minderwaardigheidsgevoelens	mInd@rward@GE+tsx@vul@s	mInd@rward@xhE+t	s
789	bondscoach	bOnskotS	bOns	s
790	jongensjaren	jON@nsjar@n	jON@	s
791	hartstocht	hArstOxt	hArs	s
795	landsgrenzen	lAnsxrEnz@	lAns	s
796	gerechtshof	G@rExshOf	G@rExs	s
825	overlijdensbericht	ov@rlE+d@nzb@rIx	ov@rlE+d@	s
838	advocatenkantoor	AdvOkat@kAntor	Atfokat	@
846	bondsdag	bOnzdAG	bOnz	s
866	veiligheidsbril	vE+l@GE+tsbrIl	vE+l@xhE+t	s
889	identiteitsbewijs	id@ntItE+dzb@wE+s	idEntitE+t	z
893	geslachtsgemeenschap	x@slAxsx@mensxAp	x@slAxs	s
895	geslachtsdelen	x@slAGzdel@	x@slAGz	s
910	gezichtspunten	G@zIxspYnt@	G@zIxs	s
914	geslachtsorganen	G@slAxsOrGan@n	G@slAxs	s
915	lapjeskat	lApj@skAt	lAp	s
922	plattelandsbevolking	plAt@lAnzb@vOlkIN	plAt@lAnz	s
942	minderwaardigheidscomplexen	mInd@rward@GE+tskOmplEks@n	mInd@rward@xhE+t	s
944	etenstijd	et@nstE+t	et@	s
980	vertrouwensman	f@rtrA+@nsmAn	f@rtrA+@	s
983	volkskunde	vOl@kskYnd@	vOl@	s
986	huisjesslak	hY+S@slAk	hY+S	s
988	geslachtsdelen	G@slAGzdel@	x@slAxt	s
1017	rijkeluiskinderen	rE+k@lY+skInd@r@	rE+k@lY	s
1028	afstandsbediening	AfstAnzb@dinIN	AfstAnz	s
1043	vertrouwensman	v@rtrA+@nsmAn	v@rtrA+@	s
1062	geluidsboxen	G@lY+dzbOks@n	G@lY+	s
1072	karnemelkspap	kArn@mEl@kspAp	kArn@mEl@	s
1074	toevluchtsoord	tuvlYxsort	tuvlYxs	s
1080	kuisheidsgordel	kY+sE+tsxOrd@l	kY+shE+t	s
1114	etenstijd	et@nstE+d	et@	s
1126	veiligheidsagent	vE+l@GE+tsAGEnt	vE+l@xhE+t	s
1136	identiteitskaart	Id@ntitE+tskart	idEntitE+t	s
1147	handwerkslieden	AntwEr@kslid@	hAndwErk	s
1161	parlementslid	pArl@mEnslIt	pArl@mEns	s
