	variant	WordOrtho	WordPhono	WordDuration	leftOrtho	Interfix	rightOrtho	leftPhonoCELEX	IfixPhonoCELEX	rightPhonoCELEX	leftPhono	IfixPhono	rightPhono	LeftDuration	RightDuration	IfixDuration	SpeechRate	SubtlexAbsFreq	SameLeftAndIfixFQ	SameLeftFQ	SameLeftDiffIfixFQ	RelFreq	SameLeftAndIfix	SameLeft	SameLeftDiffIfix	IfixNum	ParaProbType	RightPositionalEntropy	TypeSegmentalInfo
0	Netherlandic	apekool	ap@kol	0.597999999999999	aap	e	kool	ap	@	kol	ap	@	kol	0.1929999999999978	0.3539999999999992	0.0510000000000019	21.78090967328636	13.0	52.0	61.0	9.0	1.0	9.0	11.0	2.0	2.0	0.8181818181818182	-0.0	2.0874628412503395
1	Netherlandic	vrouwenstem	vrA+w@stEm	0.8629999999999995	vrouw	en	stem	vrMw	@	stEm	vrA+w	@	stEm	0.3700000000000045	0.4209999999999922	0.0720000000000027	26.535253980288186	12.0	309.0	311.0	2.0	0.4285714285714285	63.0	64.0	1.0	2.0	0.984375	1.2958363892911635	0.22112745409987028
2	Netherlandic	levenslustige	lev@slYst@G@	0.7639999999999958	leven	s	lustige	lev@	s	l}st@G@	lev@	s	lYst@G@	0.2549999999999954	0.4179999999999921	0.0910000000000081	39.98644527278898	4.0	2639.0	2639.0	0.0	0.1290322580645161	119.0	119.0	0.0	1.0	1.0	0.7538275145266043	0.7332852476782576
3	Netherlandic	zonnegod	zOn@GOt	0.5090000000000003	zon	e	god	zOn	@	GOt	zOn	@	GOt	0.2039999999999935	0.2340000000000088	0.0709999999999979	25.787359966180546	21.0	913.0	2052.0	1139.0	1.0	53.0	60.0	7.0	2.0	0.8833333333333333	-0.0	1.2089468902714964
4	Netherlandic	zonnekind	zOn@kInt	0.5579999999999927	zon	e	kind	zOn	@	kInt	zOn	@	kInt	0.193000000000012	0.304000000000002	0.0609999999999786	24.26837972876548												1.2089468902714964
5	Netherlandic	bijenwas	bE+j@wAs	0.615000000000002	bij	en	was	bK	j	@wAs	bE+j	@	wAs	0.2719999999999984	0.2920000000000016	0.0510000000000019	24.056353003721423	5.0	78.0	78.0	0.0	1.0	11.0	11.0	0.0	1.0	1.0	-0.0	4.4125698468052095
6	Netherlandic	zonnerad	zOn@rAt	0.5150000000000148	zon	e	rad	zOn	@	rAt	zOn	@	rAt	0.211999999999989	0.2530000000000143	0.0500000000000113	23.754678951914777												1.2089468902714964
7	Netherlandic	goudsbloemen	xA+tzblum@	0.693000000000012	goud	s	bloem	xMt	z	blum@	xA+t	z	blum@	0.3089999999999975	0.3240000000000123	0.0600000000000022	35.64310001172472	9.0	12.0	12.0	0.0	0.75	2.0	2.0	0.0	1.0	1.0	0.8112781244591328	5.599912842187128
8	Netherlandic	goudsbloemen	xA+tzblum@	0.6329999999999814	goud	s	bloem	xMt	z	blum@	xA+t	z	blum@	0.2520000000000095	0.31899999999996	0.0620000000000118	21.75500073003361	9.0	12.0	12.0	0.0	0.75	2.0	2.0	0.0	1.0	1.0	0.8112781244591328	5.599912842187128
9	Netherlandic	bloemenslingers	blum@slIN@rs	0.7579999999999814	bloem	en	slinger	blum	@	slIN@rs	blum	@	slIN@rs	0.2019999999999981	0.5060000000000286	0.0499999999999545	29.493870615366028	1.0	101.0	101.0	0.0	1.0	21.0	21.0	0.0	1.0	1.0	-0.0	1.6161571223247502
10	Netherlandic	bruidspaar	brY+tspar	0.6370000000000005	bruid	s	paar	brLt	s	par	brY+t	s	par	0.3029999999999972	0.2629999999999768	0.0710000000000263	24.370860927152464	41.0	425.0	425.0	0.0	0.9761904761904762	19.0	19.0	0.0	1.0	1.0	0.1623261801753929	0.10691520391651191
11	Netherlandic	levenskansen	lev@skAns@	0.9350000000000024	leven	s	kans	lev@	s	kAns@	lev@	s	kAns@	0.3859999999999957	0.4470000000000027	0.1020000000000038	25.878800948889367												0.7332852476782576
12	Netherlandic	gastenboek	xAst@buk	0.7469999999999999	gast	en	boek	xAst	@	buk	xAst	@	buk	0.3790000000000013	0.3069999999999986	0.0609999999999999	18.195896244676725	18.0	77.0	77.0	0.0	0.0849056603773584	7.0	7.0	0.0	1.0	1.0	1.475678789988517	2.920565532505595
13	Netherlandic	gastenboek	xAst@buk	0.5479999999999947	gast	en	boek	xAst	@	buk	xAst	@	buk	0.2530000000000001	0.2339999999999946	0.0609999999999999	16.884113584036875	18.0	77.0	77.0	0.0	0.0849056603773584	7.0	7.0	0.0	1.0	1.0	1.475678789988517	2.920565532505595
14	Netherlandic	pannendak	pAn@dAk	0.5740000000000123	pan	en	dak	pAn	@	dAk	pAn	@	dAk	0.2009999999999934	0.3120000000000118	0.061000000000007	20.28474234597452												2.630050390249694
15	Netherlandic	vissersboten	vIs@rzbot@	0.578000000000003	visser	s	boot	vIs@r	z	bot@	vIs@r	z	bot@	0.2529999999999859	0.2940000000000111	0.0310000000000059	23.708386841845257	13.0	88.0	88.0	0.0	0.0706521739130434	9.0	9.0	0.0	1.0	1.0	2.167430512715812	3.321928094887362
16	Netherlandic	duinenrij	dY+n@rE+	0.6789999999999736	duin	en	rij	dLn	@	rK	dY+n	@	rE+	0.3349999999999795	0.2629999999999768	0.0810000000000172	23.77432865237745												3.0356239097307216
17	Netherlandic	levenstekens	lev@stek@ns	0.88900000000001	leven	s	teken	lev@	s	tek@ns	lev@	s	tek@ns	0.3530000000000086	0.4350000000000023	0.100999999999999	23.628048780487795	42.0	2639.0	2639.0	0.0	0.4421052631578947	119.0	119.0	0.0	1.0	1.0	2.6065247475518354	0.7332852476782576
18	Netherlandic	dierenpark	dir@pArk	0.7900000000000205	dier	en	park	dir	@	pArk	dir	@	pArk	0.2830000000000154	0.4460000000000264	0.0609999999999786	21.9379557533062	5.0	976.0	976.0	0.0	1.0	36.0	36.0	0.0	1.0	1.0	-0.0	1.3143149107774874
19	Netherlandic	hartelust	hArt@lYst	0.657	hart	e	lust	hArt	@	l}st	hArt	@	lYst	0.314	0.293000000000001	0.0499999999999989	17.939814814814813	11.0	20.0	194.0	174.0	1.0	5.0	14.0	9.0	3.0	0.3571428571428571	-0.0	2.539421716810971
20	Netherlandic	boerenkinderen	bur@kInd@r@	0.9490000000000124	boer	en	kind	bur	@	kInd@r@	bur	@	kInd@r@	0.3130000000000024	0.5450000000000017	0.0910000000000081	20.60883620689653	2.0	385.0	385.0	0.0	0.0666666666666666	56.0	56.0	0.0	1.0	1.0	2.9214398352972784	0.4519886354517353
21	Netherlandic	trappenhuis	trAp@hY+s	0.7419999999999618	trap	en	huis	trAp	@	hLs	trAp	@	hY+s	0.2949999999999591	0.3859999999999672	0.0610000000000354	25.80879680116317	81.0	87.0	87.0	0.0	0.012855102364704	2.0	2.0	0.0	1.0	1.0	1.559544612019533	2.0406419844973462
22	Netherlandic	kersenpluk	kErs@plYk	0.695999999999998	kers	en	pluk	kErs	@	pl}k	kErs	@	plYk	0.3129999999999882	0.3329999999999984	0.0500000000000113	21.418234442836567												2.268488835925902
